long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
-66.590149;United States;Puerto Rico;;;18.220833;23578;0;83;0;391;0
-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
-86.902298;United States;Alabama;;US-AL;32.318231;103851;831;1847;50;37923;0
-154.493062;United States;Alaska;;US-AK;63.588753;4598;64;29;0;1344;12
-111.093731;United States;Arizona;;US-AZ;34.048928;188737;1148;4199;43;26102;254
-91.831833;United States;Arkansas;;US-AR;35.20105;50411;383;566;8;42998;859
-119.417932;United States;California;;US-CA;36.778261;585718;10646;10894;5;229869;6535
-105.782067;United States;Colorado;;US-CO;39.550051;51441;394;1875;6;20090;180
-73.087749;United States;Connecticut;;US-CT;41.603221;50684;117;4445;0;29162;1007
139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
-75.52767;United States;Delaware;;US-DE;38.910832;15699;65;591;0;8519;19
-77.0369;United States;District of Columbia;;US-DC;38.9072;12896;89;593;2;10232;44
-81.515754;United States;Florida;;US-FL;27.664827;542792;5831;15760;0;52608;462
-82.907123;United States;Georgia;;US-GA;32.157435;222588;3563;4351;115;37528;391
-155.665857;United States;Hawaii;;US-HI;19.898682;3756;118;34;0;1627;41
-114.742041;United States;Idaho;;US-ID;44.068202;25595;420;246;6;9548;207
-89.398528;United States;Illinois;;US-IL;40.633125;198248;1549;7866;20;145483;380
-85.602364;United States;Indiana;;US-IN;40.551217;83230;424;3069;25;56349;2281
-93.097702;United States;Iowa;;US-IA;41.878003;49339;173;940;3;38032;712
-98.484246;United States;Kansas;;US-KS;39.011902;32178;201;396;2;19677;173
-84.270018;United States;Kentucky;;US-KY;37.839333;36763;329;797;2;8819;81
-92.145024;United States;Louisiana;;US-LA;31.244823;133125;1112;4314;26;89083;0
-69.445469;United States;Maine;;US-ME;45.253783;4056;0;126;1;3560;23
-76.641271;United States;Maryland;;US-MD;39.045755;96843;585;3604;13;5935;25
-71.382437;United States;Massachusetts;;US-MA;42.407211;121707;392;8751;10;99021;0
-85.602364;United States;Michigan;;US-MI;44.314844;98213;907;6544;2;63636;0
-94.6859;United States;Minnesota;;US-MN;46.729553;61839;323;1707;6;55151;787
-89.398528;United States;Mississippi;;US-MS;32.354668;68293;590;1944;31;49836;0
-91.831833;United States;Missouri;;US-MO;37.964253;61687;1031;1412;2;9997;202
-110.362566;United States;Montana;;US-MT;46.879682;5104;83;77;2;3542;129
-99.901813;United States;Nebraska;;US-NE;41.492537;29030;334;358;0;21312;199
-116.419389;United States;Nevada;;US-NV;38.80261;57520;547;981;18;26011;0
-71.572395;United States;New Hampshire;;US-NH;43.193852;6861;19;419;0;6126;31
-74.405661;United States;New Jersey;;US-NJ;40.058324;191135;360;15966;11;151890;1745
-105.032363;United States;New Mexico;;US-NM;34.97273;22905;35;693;2;9612;184
-74.217933;United States;New York;;US-NY;43.299428;451736;711;33567;0;343679;3204
-79.0193;United States;North Carolina;;US-NC;35.759573;138812;1184;2255;28;116969;0
-101.002012;United States;North Dakota;;US-ND;47.551493;7885;168;118;5;6668;234
145.75;United States;Northern Mariana Islands;;;15.183333;63;1;4;0;11;0
-82.907123;United States;Ohio;;US-OH;40.417287;102849;1093;3710;26;80885;1564
-97.092877;United States;Oklahoma;;US-OK;35.007752;44728;755;618;13;37193;815
-120.554201;United States;Oregon;;US-OR;43.804133;21774;286;368;9;4226;0
-77.194525;United States;Pennsylvania;;US-PA;41.203322;125061;792;7427;27;92616;638
-71.477429;United States;Rhode Island;;US-RI;41.580095;20053;119;1016;1;1911;11
-81.163725;United States;South Carolina;;US-SC;33.836081;102431;0;2098;49;40837;3039
-99.901813;United States;South Dakota;;US-SD;43.969515;9713;27;148;0;8507;136
-86.580447;United States;Tennessee;;US-TN;35.517491;124915;1001;1592;6;85313;2143
-99.901813;United States;Texas;;US-TX;31.968599;526680;7976;9131;12;358312;8479
-111.093731;United States;Utah;;US-UT;39.32098;44854;151;352;3;34764;445
-72.577841;United States;Vermont;;US-VT;44.558803;1472;10;59;0;1295;13
-78.656894;United States;Virginia;;US-VA;37.431573;101745;996;2344;17;13152;191
-120.740139;United States;Washington;;US-WA;47.751074;66230;571;1781;8;22254;242
-80.454903;United States;West Virginia;;;38.597626;7875;99;147;5;5863;164
-88.787868;United States;Wisconsin;;US-WI;43.78444;61785;597;1006;1;50662;0
-107.290284;United States;Wyoming;;US-WY;43.075968;3073;7;29;1;2541;58
;United States;Veteran Affairs;;;;6692;0;413;0;0;0
;United States;US Military;;;;6213;0;26;0;1947;0
;United States;Navajo Nation;;;;1540;0;58;0;0;0
;United States;Federal Prisons;;;;1047;0;26;0;507;0
;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
